1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240218" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 4.9999999999999922E-001 1.7660185815636900E+000 1.1752092128948317E+000 3.6155294571698202E+000 5.4771564797662400E+000 -2.6949104811245612E+000 1.0902314646094212E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870475234494009E+000 8.5000496627254141E-001 2.3269379817305261E+001 0.0000000000000000E+000 8.2009164745854260E+005 6.7188006134848802E+003 8.5694198816566512E+007 -2.0577996755664369E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577996755664369E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975864313037153E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -7.0181217585294721E-011
2 2.2000000000000003E-005 4.9999999999999833E-001 1.7638850361951603E+000 1.1751849099922891E+000 3.6150082222789588E+000 5.4771564833312114E+000 -2.6949104620275426E+000 1.0902314668703287E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870474924927805E+000 8.5000496627254141E-001 2.3269379766085088E+001 0.0000000000000000E+000 8.2002281246837671E+005 6.7522669147906718E+003 8.6116221897011757E+007 -2.0577996863069234E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577996863069234E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975864420442011E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.9874350084218131E-011
3 3.6400000000000004E-005 4.9999999999999734E-001 1.7614141022574383E+000 1.1751563022789504E+000 3.6144047926511975E+000 5.4771564876193937E+000 -2.6949104405920985E+000 1.0902314694374684E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870474587221658E+000 8.5000496627254141E-001 2.3269379710185003E+001 0.0000000000000000E+000 8.1994179203315172E+005 6.7912410097000738E+003 8.6607579684959993E+007 -2.0577996980329388E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577996980329388E+001 -9.8999999999999986E+001 -3.6424629475341725E+001 -2.1975864537702162E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.9528031420727129E-011
4 5.3680000000000001E-005 4.9999999999999623E-001 1.7582159138808877E+000 1.1751211058789992E+000 3.6136228437570357E+000 5.4771564929204413E+000 -2.6949104164556252E+000 1.0902314723765191E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870474223059500E+000 8.5000496627254163E-001 2.3269379649864582E+001 0.0000000000000000E+000 8.1984212263917900E+005 6.8419914619230040E+003 8.7247720777661383E+007 -2.0577997102496401E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577997102496401E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975864659869167E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.9129018620034942E-011
5 7.4416000000000000E-005 4.9999999999999478E-001 1.7545423456732172E+000 1.1750804648141635E+000 3.6127247722375353E+000 5.4771564992052433E+000 -2.6949103898162048E+000 1.0902314756648364E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870473835920281E+000 8.5000496627254163E-001 2.3269379585698875E+001 0.0000000000000000E+000 8.1972705007945735E+005 6.9007570402683159E+003 8.7988853461236611E+007 -2.0577997229853487E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577997229853487E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975864787226243E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.8616254320894845E-011
6 9.9299199999999986E-005 4.9999999999999312E-001 1.7505085836779617E+000 1.1750341187556668E+000 3.6117395047679701E+000 5.4771565065132366E+000 -2.6949103608396157E+000 1.0902314792900079E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870473430889179E+000 8.5000496627254163E-001 2.3269379518523422E+001 0.0000000000000000E+000 8.1959584390874370E+005 6.9658937386902408E+003 8.8809908100420117E+007 -2.0577997360397834E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577997360397834E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975864917770583E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.8031930913256018E-011
7 1.2915903999999998E-004 4.9999999999999106E-001 1.7460821672355389E+000 1.1749813017443060E+000 3.6106593091630450E+000 5.4771565149621422E+000 -2.6949103296371701E+000 1.0902314832530513E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870473014488709E+000 8.5000496627254141E-001 2.3269379449405729E+001 0.0000000000000000E+000 8.1944634400736424E+005 7.0381104610624961E+003 8.9719705032071412E+007 -2.0577997489467336E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577997489467336E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975865046840074E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.7395777745666519E-011
8 1.6499084799999998E-004 4.9999999999998862E-001 1.7412077909052390E+000 1.1749211608830112E+000 3.6094707855111170E+000 5.4771565246845375E+000 -2.6949102963478055E+000 1.0902314875537636E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870472594371373E+000 8.5000496627254163E-001 2.3269379379598579E+001 0.0000000000000000E+000 8.1927614696518157E+005 7.1185345275256486E+003 9.0732361287249014E+007 -2.0577997610839606E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577997610839606E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975865168212334E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.6704242397159222E-011
9 2.0798901759999997E-004 4.9999999999998590E-001 1.7358519347341708E+000 1.1748527633576700E+000 3.6081660202310211E+000 5.4771568402882043E+000 -2.6949097964923276E+000 1.0902315695163072E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -6.6870472064514095E+000 8.5000496627254141E-001 2.3269379273203754E+001 0.0000000000000000E+000 8.1908262674464588E+005 7.2080011882335293E+003 9.1858229319552630E+007 -2.0577992022666294E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0577992022666294E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1975859580038549E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5950628517338740E-011
