1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240321" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 2.9999999999999671E+000 3.4732786325745946E+000 1.9247738913424870E+000 3.6675621306987187E+000 5.4770499879786145E+000 -4.2252843504445616E+000 9.3806506452936187E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182522048768114E+001 8.5000496627254141E-001 2.9012905525913574E+001 6.5882949774221554E-005 4.4579355060866261E+006 8.4483038361382239E+002 1.0088872234086646E+007 -2.1340088240039524E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340088240039524E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737956390402836E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.3522495844477060E-009
2 2.2000000000000003E-005 2.9999999999999272E+000 3.4706172666084094E+000 1.9247498609664373E+000 3.6669088043951974E+000 5.4770498916674821E+000 -4.2252837596180077E+000 9.3806511311782774E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182520351337889E+001 8.5000496627254141E-001 2.9012902696280239E+001 6.5882962913281219E-005 4.4575655218055267E+006 8.5007045249993496E+002 1.0150886880542887E+007 -2.1340085790174761E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340085790174761E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737953940538066E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.3341970316301746E-009
3 3.6400000000000004E-005 2.9999999999998797E+000 3.4675362802884599E+000 1.9247217380408548E+000 3.6661526192780003E+000 5.4770496937476789E+000 -4.2252832488541916E+000 9.3806514331672712E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182518492124755E+001 8.5000496627254141E-001 2.9012899573885740E+001 6.5882971780960013E-005 4.4571325654801596E+006 8.5617793278591455E+002 1.0223155681743670E+007 -2.1340084850326104E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340084850326104E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737953000689409E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.3136441208987482E-009
4 5.3680000000000001E-005 2.9999999999998228E+000 3.4639518226885517E+000 1.9246889247765797E+000 3.6652729115101610E+000 5.4770493925434538E+000 -4.2252828241497058E+000 9.3806515435973434E+000 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182516479290374E+001 8.5000496627254163E-001 2.9012896171801255E+001 6.5882972502590207E-005 4.4566274538996825E+006 8.6333888276157984E+002 1.0307881851225350E+007 -2.1340085490512546E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340085490512546E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737953640875848E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.2900064921206683E-009
5 7.4416000000000000E-005 2.9999999999997549E+000 3.4596103349995020E+000 1.9246502143600686E+000 3.6642068947961546E+000 5.4770490710546342E+000 -4.2252823633909147E+000 9.3806516688440560E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182514313642594E+001 8.5000496627254163E-001 2.9012892512077922E+001 6.5882973373375706E-005 4.4560316379968179E+006 8.7209038649632942E+002 1.0411442853938432E+007 -2.1340086212696420E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340086212696420E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737954363059721E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.2627175880991293E-009
6 9.9299199999999986E-005 2.9999999999996745E+000 3.4546901461254387E+000 1.9246057547137840E+000 3.6629990774007806E+000 5.4770487338223930E+000 -4.2252818706360209E+000 9.3806518095644993E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182512020097708E+001 8.5000496627254141E-001 2.9012888637032031E+001 6.5882974411442014E-005 4.4553474304308919E+006 8.8211691018341469E+002 1.0530066372025318E+007 -2.1340087018817282E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340087018817282E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737955169180584E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.2299759301243508E-009
7 1.2915903999999998E-004 2.9999999999995781E+000 3.4491609319786640E+000 1.9245546393109396E+000 3.6616423315655098E+000 5.4770483868584110E+000 -4.2252813516233090E+000 9.3806519662661483E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182509632487822E+001 8.5000496627254163E-001 2.9012884604083677E+001 6.5882975648685421E-005 4.4545609245472839E+006 8.9352452466568059E+002 1.0664986811768515E+007 -2.1340087905884932E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340087905884932E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737956056248233E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.1932626217200938E-009
8 1.6499084799999998E-004 2.9999999999994653E+000 3.4430551058072556E+000 1.9244959614486803E+000 3.6601452139537871E+000 5.4770480373843764E+000 -4.2252808136766031E+000 9.3806521391322715E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182507192451689E+001 8.5000496627254141E-001 2.9012880483858005E+001 6.5882977127774246E-005 4.4536582272825651E+006 9.0629791561998479E+002 1.0815986808324287E+007 -2.1340088865575865E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340088865575865E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737957015939163E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.1524942847313124E-009
9 2.0798901759999997E-004 2.9999999999993312E+000 3.4359279923492703E+000 1.9244284474253102E+000 3.6583971926009760E+000 5.4770476933145549E+000 -4.2252802655385295E+000 9.3806523276542908E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0182504747280481E+001 8.5000496627254163E-001 2.9012876356495010E+001 6.5882978892253122E-005 4.4526198212817088E+006 9.2143691816541650E+002 1.0994950092191519E+007 -2.1340089885493466E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1340089885493466E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2737958035856764E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.1080629324285296E-009
